run_id,model,board_size,runtime_seconds,winner
1,minimax_hash,25,7.291,minimax_hash
2,minimax_hash,25,7.202,minimax_hash
1,alphabeta,25,1.198,alphabeta
2,alphabeta,25,1.079,alphabeta
1,bayesian,25,0.001,bayesian
2,bayesian,25,0.001,bayesian
1,minimax_hash,36,79.535,minimax_hash
2,minimax_hash,36,74.065,minimax_hash
1,alphabeta,36,17.745,alphabeta
2,alphabeta,36,11.998,alphabeta
1,bayesian,36,0.002,bayesian
2,bayesian,36,0.002,bayesian
1,minimax_hash,49,578.177,minimax_hash
2,minimax_hash,49,534.19,minimax_hash
1,alphabeta,49,29.604,alphabeta
2,alphabeta,49,36.739,alphabeta
1,bayesian,49,0.003,bayesian
2,bayesian,49,0.003,bayesian
